locator,source_kind,raw,carries,multiplicity,count_min,count_max,reviewed_multiplicity,reviewed_multiplicity_note,vertical_kind,vertical_raw,occurrence_split_count,expected_target_concepts,adjudication,adjudication_note,review_position
legacy_csv:electrical_existing:E-KL-LIGHT,canonical_csv,"{""item_id"": ""E-KL-LIGHT"", ""kind"": ""ceiling light points"", ""room"": ""кухня+living 24.73"", ""count"": ""2"", ""height_mm"": ""ceiling"", ""source"": ""add8 (109)"", ""notes"": ""!! TWO points in the one 25 m2 room - a lamp holder on a cable near the window end and a second cable further in. The developer already wires this space as TWO ZONES, which independently supports the \""жилая с кухонным оборудованием\"" label",ceiling light points,exact_n,2,2,,,relative,ceiling,,,unresolved,,electrical_existing.csv:2
legacy_csv:electrical_existing:E-KL-SOC-W,canonical_csv,"{""item_id"": ""E-KL-SOC-W"", ""kind"": ""socket outlets"", ""room"": ""кухня+living, window end"", ""count"": ""2-3"", ""height_mm"": ""low + one mid"", ""source"": ""add8 (109)"", ""notes"": ""Low-level sockets on the long wall plus one higher near the window. Heights not measured - the shot is oblique with no independent scale in the wall plane.""}",socket outlets,range,2,3,,,mixed_qualitative,low + one mid,,,unresolved,,electrical_existing.csv:3
legacy_csv:electrical_existing:E-KL-SOC-K,canonical_csv,"{""item_id"": ""E-KL-SOC-K"", ""kind"": ""socket outlets"", ""room"": ""кухня zone, corridor wall"", ""count"": ""3"", ""height_mm"": ""915-1105"", ""source"": ""930d (53)"", ""notes"": ""THREE in a row at one height, roughly evenly spaced; two read as VERTICAL DOUBLES, the right-hand one as a single. ABOVE-WORKTOP height on either candidate scale - the robust conclusion. See the scale caveat in service_outlets.csv.""}",socket outlets,exact_n,3,3,exact_n,"Exactly 3 IN APARTMENT 53. The multiplicity is certain; what is uncertain is whether it projects here, which is an EXISTENCE question, not a multiplicity one - the two must not be conflated.",range,915-1105,,observation;assertion;value,accepted,"⚠ REVISED 2026-09-17 - occurrence_split_count 3 CLEARED. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. The count of three is solid, and the match to S1/S2/S3 is solid - three positions in a row, two VERTICAL DOUBLES and one right-hand SINGLE - but ALL OF IT IS ABOUT APARTMENT 53 (930d). The observation is preserved with count 3 scoped to flat 53, and the projection onto this apartment is a candidate count assertion. THREE TARGET-APARTMENT OCCURRENCES ARE NOT MINTED, so no split count is stated: stating one would assert that three outlets exist here. If the owner resolves it, the split happens THEN, and the reviewed exact_n below records that the number itself is not in doubt. MEASUREMENTS ARE NOT MERGED: this row's 915-1105 is an observed range and the generator's 1000 is a derived, rounded nominal.",electrical_existing.csv:4
legacy_csv:electrical_existing:E-C-LIGHT,canonical_csv,"{""item_id"": ""E-C-LIGHT"", ""kind"": ""ceiling light point"", ""room"": ""прихожая"", ""count"": ""1"", ""height_mm"": ""ceiling"", ""source"": ""a82a, a89c (109), 9e9b (2)"", ""notes"": ""A pendant point, present in every corridor photographed - but that is THREE PHOTOS ACROSS TWO FLATS (a82a + a89c are both 109; 9e9b is 2), not three flats. Corrected 2026-09-17.""}",ceiling light point,single,1,1,,,relative,ceiling,,,unresolved,,electrical_existing.csv:5
legacy_csv:electrical_existing:E-C-SWITCH,canonical_csv,"{""item_id"": ""E-C-SWITCH"", ""kind"": ""switch boxes"", ""room"": ""прихожая"", ""count"": ""2 (a pair)"", ""height_mm"": ""~880"", ""source"": ""a89c (109)"", ""notes"": ""!! A PAIR of square boxes side by side on the pier beside a doorway, at ~880 mm - switch height, and a pair means two circuits ganged at one point. ±100: derived from floor-to-ceiling on that pier.""}",switch boxes,exact_n,2,2,,,approximate,~880,,,unresolved,,electrical_existing.csv:6
legacy_csv:electrical_existing:E-C-HIGH,canonical_csv,"{""item_id"": ""E-C-HIGH"", ""kind"": ""round boxes, high level"", ""room"": ""прихожая"", ""count"": ""2"", ""height_mm"": ""~2100"", ""source"": ""a89c (109)"", ""notes"": ""⚠ TWO circular boxes side by side at ~2.1 m. Too high for a socket and too high for a switch. Most likely junction boxes on the lighting circuit, possibly for wall lights. NOT identified - recorded because they exist and would otherwise be plastered o","round boxes, high level",exact_n,2,2,,,approximate,~2100,,,unresolved,,electrical_existing.csv:7
legacy_csv:electrical_existing:E-MR-SOC,canonical_csv,"{""item_id"": ""E-MR-SOC"", ""kind"": ""socket outlets"", ""room"": ""middle room 16.63"", ""count"": ""2"", ""height_mm"": ""low"", ""source"": ""kids_room_window = b6f0 (53"", ""notes"": "" MIRRORED; corrected 2026-09-17)"", ""null"": [""Two low-level sockets on the wall opposite the window, plus a ceiling cable at the window end.""]}",socket outlets,exact_n,2,2,,,band,low,,,unresolved,,electrical_existing.csv:8
legacy_csv:electrical_existing:E-MR-LIGHT,canonical_csv,"{""item_id"": ""E-MR-LIGHT"", ""kind"": ""ceiling light point"", ""room"": ""middle room 16.63"", ""count"": ""1"", ""height_mm"": ""ceiling"", ""source"": ""kids_room_window = b6f0 (53"", ""notes"": "" MIRRORED; corrected 2026-09-17)"", ""null"": [""""]}",ceiling light point,single,1,1,,,relative,ceiling,,,unresolved,,electrical_existing.csv:9
legacy_csv:electrical_existing:E-SB-SOC,canonical_csv,"{""item_id"": ""E-SB-SOC"", ""kind"": ""socket outlets"", ""room"": ""small bedroom 9.36"", ""count"": ""2"", ""height_mm"": ""low"", ""source"": ""small_bedroom_window = 9db4 (53), bc18 (109)"", ""notes"": ""One on each side wall, low level.""}",socket outlets,exact_n,2,2,,,band,low,,,unresolved,,electrical_existing.csv:10
legacy_csv:electrical_existing:E-SB-LIGHT,canonical_csv,"{""item_id"": ""E-SB-LIGHT"", ""kind"": ""ceiling light point"", ""room"": ""small bedroom 9.36"", ""count"": ""1"", ""height_mm"": ""ceiling"", ""source"": ""bc18 (109)""}",ceiling light point,single,1,1,,,relative,ceiling,,,unresolved,,electrical_existing.csv:11
