migration_key,source_locators,target_concept,subject_key,property,value,value_type,polarity,knowledge_basis,value_state,scope_kind,scope_ref,scope_phase,disputed_with,notes
ASR-W6-EXIST,legacy_comment:4#living_room_switch_at_o10,assertion,OCC-W6,existence,true,bool,affirm,stated,asserted,apartment,ours,existing,,Owner testimony about THIS apartment - currently the only route to an established existence.
ASR-W6-HOST,legacy_generator:SWDEF:W6,assertion,OCC-W6,position_along,R5@0.30,string,affirm,derived,retracted,apartment,ours,existing,,"⚠ RETRACTED 2026-09-17 by the wiring-substrate rule: R5 is concrete and cannot be chased. Kept as history - this is what the sheet asserted and why it was wrong. The wall and the 0.30 fraction are the author's, derived from O10 being the only entrance. The owner said WHERE RELATIVE TO THE OPENING, not which wall face."
ASR-W6-VERT,legacy_generator:SWDEF:W6,assertion,OCC-W6,vertical,900,mm,affirm,assumed,candidate,apartment,ours,existing,,"A standard switch height, assumed. No evidence for this flat."
ASR-W6-GANG,legacy_generator:SWDEF:W6,assertion,OCC-W6,gang,2,int,affirm,assumed,candidate,apartment,ours,existing,,"⚠ NO SUPPORT WHATSOEVER. Recorded as what the legacy sheet DREW, not asserted about the flat. The generator must not emit a 2-gang switch from this."
ASR-SV-T-VERT,legacy_csv:service_outlets:SV-T,assertion,OCC-SV-T,vertical,2200,mm,affirm,assumed,candidate,apartment,ours,existing,,"⚠ AN EXPECTATION, NOT A MEASUREMENT: the row says 'if SV-K is the standard, expect ~2.2 m'. legacy_generator:tag:V-1 drew that as H=218 on photographs of the KITCHEN grille. The generator may not consume it as a placement value."
ASR-EC-LIGHT-OURS,legacy_csv:electrical_existing:E-C-LIGHT;legacy_generator:LIGHT:L3,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION, AS ITS OWN ROW. A corridor pendant point is expected here because 109 and 2 both have one. That is a candidate DERIVED FROM COMPARABLES, not an observation of ours - which is why it is a separate row from OBS-EC-LIGHT-109 and why no occurrence is minted from it."
ASR-ROUTE-V2-RETRACTED,legacy_comment:5#diagonal_route_through_v2,assertion,,route_state,straight through V2,string,affirm,derived,retracted,apartment,ours,existing,,"⚠ RETRACTED HISTORY, KEPT ON PURPOSE. Round 1 of the kitchen water run went diagonally through V2; the owner withdrew it the same day because V2 is a concrete ventilation shaft. Dropping it would erase the record that this was tried and why it was wrong - exactly the loss the coverage gate exists to prevent."
ASR-W6-ANCHOR,legacy_generator:SWDEF:W6,assertion,OCC-W6,anchor_mode,centre,enum,affirm,assumed,candidate,apartment,ours,existing,,What the occurrence's point MEANS. Assumed: the legacy literal carries one coordinate and never said which part of the device it marks.
ASR-W6-EXT-A,legacy_generator:SWDEF:W6,assertion,OCC-W6,extent_along_mm,,mm,affirm,unknown,unknown,apartment,ours,existing,,"⚠ UNKNOWN, AND RECORDED AS SUCH RATHER THAN OMITTED. No source states a device width. The validator must NOT invent a default: with the centre clear and the extent unknown the verdict is INCOMPLETE, never `valid`."
ASR-W6-EXT-V,legacy_generator:SWDEF:W6,assertion,OCC-W6,extent_vertical_mm,,mm,affirm,unknown,unknown,apartment,ours,existing,,Likewise unknown. Same consequence.
ASR-W6-HOSTINT,legacy_generator:SWDEF:W6,assertion,OCC-W6,host_interaction,avoid_void,enum,affirm,derived,asserted,apartment,ours,existing,,A switch must sit in solid wall. This is what makes an overlap with a hosted void a DEFECT for this occurrence.
ASR-SV-VT-HOSTINT,legacy_csv:service_outlets:SV-VT,assertion,OCC-SV-VT,host_interaction,creates_penetration,enum,affirm,stated,asserted,apartment,ours,existing,,"⚠ THE CASE THAT BREAKS A BLANKET RULE. SV-VT IS a hole through G4b - the owner's transfer opening between the ванная and the туалет. A flat 'a service may not overlap a void' check would eventually reject the one element whose whole purpose is to be one. The validator dispatches on this, and must not treat absence of it as `avoid_void`."
ASR-SV-VT-EXT-A,legacy_csv:service_outlets:SV-VT,assertion,OCC-SV-VT,extent_along_mm,,mm,affirm,unknown,unknown,apartment,ours,existing,,The opening's size is not measured either - the row says 'not yet measured'.
ASR-H-ZONE,legacy_csv:service_outlets:SW-B;legacy_csv:plumbing_anchors:P1,assertion,OCC-SW-B-H,arrangement,inside P1,string,affirm,stated,asserted,apartment,ours,existing,,"CONTAINMENT, NOT A FACE POSITION. The owner put the hot and cold risers in the P1 wet-riser group; P1 is a plumbing anchor, not a wall, so this cannot be a wall_face locator. The arrangement WITHIN P1 is from ade6, apartment 53, and stays candidate - see ASR-H-ARR."
ASR-H-ARR,legacy_generator:P1SVC:SW-B-H,assertion,OCC-SW-B-H,arrangement,"valve node north, nearest V1",string,affirm,derived,candidate,apartment,ours,existing,,The position WITHIN the block. The owner gave a qualitative arrangement ('the valve node is kind of closer to the venting shaft'); the coordinates are the author's.
ASR-C-ZONE,legacy_csv:service_outlets:SW-B;legacy_csv:plumbing_anchors:P1,assertion,OCC-SW-B-C,arrangement,inside P1,string,affirm,stated,asserted,apartment,ours,existing,,"CONTAINMENT, NOT A FACE POSITION. The owner put the hot and cold risers in the P1 wet-riser group; P1 is a plumbing anchor, not a wall, so this cannot be a wall_face locator. The arrangement WITHIN P1 is from ade6, apartment 53, and stays candidate - see ASR-C-ARR."
ASR-C-ARR,legacy_generator:P1SVC:SW-B-C,assertion,OCC-SW-B-C,arrangement,"valve node north, nearest V1",string,affirm,derived,candidate,apartment,ours,existing,,The position WITHIN the block. The owner gave a qualitative arrangement ('the valve node is kind of closer to the venting shaft'); the coordinates are the author's.
ASR-electrical-existing-E-KL-LIGHT-EXIST,legacy_csv:electrical_existing:E-KL-LIGHT,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-KL-SOC-W-EXIST,legacy_csv:electrical_existing:E-KL-SOC-W,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-KL-SOC-K,legacy_csv:electrical_existing:E-KL-SOC-K,assertion,,arrangement,"⚠ REVISED 2026-09-17 - occurrence_split_count 3 CLEARED. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observ",string,affirm,stated,asserted,apartment,ours,existing,,"⚠ REVISED 2026-09-17 - occurrence_split_count 3 CLEARED. ⚠ COMPARABLE-FLAT RULE (owner, 2026-09-17): an observation in another flat is an asserted observation SCOPED TO THAT FLAT, and a CANDIDATE, DERIVED projection onto this apartment. Repetition raises confidence but does not change the subject. There is NO interior photograph of this unit at all - the single photo of ours in photo_positions.csv is an exterior elevation - so nothing here is field-verified. The count of three is solid, and the "
ASR-electrical-existing-E-C-SWITCH-EXIST,legacy_csv:electrical_existing:E-C-SWITCH,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-C-HIGH-EXIST,legacy_csv:electrical_existing:E-C-HIGH,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-MR-SOC-EXIST,legacy_csv:electrical_existing:E-MR-SOC,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
ASR-electrical-existing-E-MR-LIGHT-EXIST,legacy_csv:electrical_existing:E-MR-LIGHT,assertion,,existence,true,bool,affirm,derived,candidate,apartment,ours,existing,,"⚠ THE PROJECTION ONTO OURS, as its own row. Comparable-flat evidence is an observation of THAT flat; repetition raises confidence but does not change the subject. No occurrence is minted."
