wall_id,structural_element_id,class,thickness_mm,insulation_mm,insulation_side,insulation_end_caps,insulation_to_mm,insulation_from_mm,clear_mm,owns_corners_mm,solid_mm,length_source,notes
R1a,A_NW_CORNER,concrete,250,,,,,,1416,250,1666,"DERIVED, confirmed by chain closure","RETRACTED 2026-09-04. My 1416 was 1795 + 120 (G4C) - 499 (G2 left jamb), but the printed 1795 is the 9.36 ROOM’s, not the vannaya’s: 1795 + 120 + 910 = 2825 = G4d exactly. Same error class as G3 = 3315 and G4b = 1140 - a printed number attached to the wrong element. Two pixel-only estimates remain and they disagree: 1429 (west inner face to G2’s west face) and 1241 (top-edge closure). Needs one printed dimension from the west wall to the entrance door, or a tape measure."
R1b,A_NW_CORNER,concrete,250,,,,,,1200,,1200,"DERIVED, confirmed by chain closure",
R2,R2,concrete,250,,,,,,1675,250,1925,printed on the plan,"1675 printed, INTERNAL. Corrected 2026-09-04 from my 1925 - I had wrongly added the 250 top wall. 75 mm shorter than the R6/R7/R8/R9 family."
R3,R3,concrete,250,,,,,,2740,,2740,"drawn block joint on the vector plan, owner-approved 2026-09-09","SPLIT RESOLVED 2026-09-09, owner-approved. The vector plan draws a BLOCK JOINT across the full wall thickness at x=9606.2, giving R3 clear 2740 (6866.5 to 9606.2, measured 2739.7) and G3 clear 3090 (9606.2 to 12695.9, measured 3089.7). The pair sums to 5830, exactly the recorded total. Three independent checks agree: 2740 is above the recorded R3>=2515 bound; 3090 is below the recorded G3<3315 bound; and the joint sits 225 mm east of the venting-shaft edge (12695.9-3315=9380.9), which is where the earlier note reasoned it had to be. Owner 2026-09-09: the split is buried under finishes so no quantity depends on it - but the two are different MATERIALS, so where you can drill and fix does. PREVIOUS STATE, kept for audit: INDETERMINATE SPLIT since 2026-09-04; R3+G3 = 5830 from the owner's top-edge chain 2115 + 400 + 3315, G2's east face to R2's west face; R3 >= 2515, G3 < 3315; split point not dimensioned on any plan."
R4,R4,concrete,250,,,,,,1050,,1050,printed on the plan,
R5,R5,concrete,250,,,,,,1050,,1050,printed on the plan,
R6,R6,concrete,250,,,,,,1750,,1750,printed on the plan,
R7,R7,concrete,250,,,,,,1750,,1750,printed on the plan,
R8,R8,concrete,250,150,,,,,1490,600,2090,printed on the plan,"clear 1490 printed (the MA-to-MB spacing). SOLID 1790: the frame owns both its corners, +300 each. The owner measured 1750 - the 40 mm short of the geometric 1790 is his own explanation, the column not finishing flush with the block facade and the offset taken up under the 70 mm insulation. SOLID CORRECTED 2026-09-09 from 1790 to 2090. R8 OWNS TWO corners - C_MA_R8 and C_MB_R8, +300 each - so solid = clear 1490 + 600 = 2090. The 1790 was almost certainly copied from R9, which owns ONE corner and is correctly 1490 + 300 = 1790; R9's note even reads ""see R8"". This is arithmetic from two figures that are themselves recorded, not a new measurement. Found because the exporter drew R8 at 2390 - it laid the wall at solid_mm and then added the owned corners a second time - and the owner spotted the over-extension on the drawing. tools/layout/build_wall_corners.py now checks this invariant. INSULATION THICKNESS OWNER-CONFIRMED 2026-09-15: the 70/150 split is CORRECT as recorded. I had raised it as an open disagreement after the exterior photos - building_spec.json states 70 mm mineral wool for the building's external walls, and ext2 shows the layer wrapping the M6b/MB corner as one unbroken skin, which I read as implying a single thickness throughout. THAT INFERENCE WAS WRONG: a continuous wrap does not imply a constant thickness, and the photo cannot measure one. The 70 applies to the main facade walls MA/MB/MC (300 block + 70, per the spec) and the 150 to M6b/R8/R9. The question is CLOSED; no reconciliation is needed because there was no conflict."
R9,R9,concrete,250,150,,,,,1490,260,1750,printed on the plan,"clear 1490 printed, SOLID 1790 - see R8. INSULATION THICKNESS OWNER-CONFIRMED 2026-09-15: the 70/150 split is CORRECT as recorded. I had raised it as an open disagreement after the exterior photos - building_spec.json states 70 mm mineral wool for the building's external walls, and ext2 shows the layer wrapping the M6b/MB corner as one unbroken skin, which I read as implying a single thickness throughout. THAT INFERENCE WAS WRONG: a continuous wrap does not imply a constant thickness, and the photo cannot measure one. The 70 applies to the main facade walls MA/MB/MC (300 block + 70, per the spec) and the 150 to M6b/R8/R9. The question is CLOSED; no reconciliation is needed because there was no conflict. SOLID 1750 as of 2026-09-15, see wall_corners.csv C_MB_R9 and directive P_R9_south. clear_mm 1490 unchanged; the corner gain is 260, not 300."
