key,trade,task,room,resource_role,product_id,qty,unit,qty_source,waste_basis,rate_expected,rate_unit,rate_expected_source,stage,lead_time_days,notes
PLA-01:R07:gypsum_plaster_walls,PLA,Plaster walls to beacons,R07,wall_plaster_wet_room,,,m2,unmeasured,pct:10,18-25,BYN/m2,gemini_report_20260908_UNDATED_UNVERIFIED,3,,"Gypsum forced by the gypsum ventilation shaft forming a wall face - cement compositions must never go on it (SN 3.02.01-2019 practice; Vasily_Sanuzel ep2). Grade strength must not exceed the substrate's"
PLA-02:R08:gypsum_plaster_walls,PLA,Plaster walls to beacons,R08,wall_plaster_wet_room,,,m2,unmeasured,pct:10,18-25,BYN/m2,gemini_report_20260908_UNDATED_UNVERIFIED,3,,Same gypsum constraint as R07 - the vent block is in this room
PLA-03:ALL:aerated_block_primer,PLA,Prime aerated block before plaster,ALL,substrate_primer_high_polymer,,,m2,unmeasured,pct:5,,BYN/m2,none,3,,"Distinct product from ordinary primer - elevated polymer content for strongly absorbent substrates. Also buys plaster working time, not only adhesion. >=6 h before plastering"
SCR-01:ALL:self_levelling_layer,SCR,Levelling layer over slab,ALL,floor_levelling_compound,,,m2,unmeasured,pct:5,,BYN/m2,none,3,,"Developer screed is part of handover - replacing it is chargeable rework, not a variation. Datum: finished floor minus tile+adhesive (13 mm on Vasily's job)"
WAT-01:R07:elastomeric_membrane,WAT,Liquid membrane to floor and walls,R07,wet_zone_waterproofing,,,m2,unmeasured,pct:10,,BYN/m2,none,3,,"CRITICAL: thickness 0.5-0.8 mm is the spec and it is invisible. VERIFY BY COUNTING EMPTY CONTAINERS against the datasheet coverage rate - colour proves nothing. ~18 kg for a comparable room"
WAT-02:R07:collars_and_tape,WAT,Collars at penetrations and tape at junctions,R07,wet_zone_detailing,,,ea,unmeasured,none,,BYN/ea,none,3,,"Collars are NOT always in the box - buy separately and cut from sheet if needed. Hole made undersize so it stretches over the box. Movement gaps are the water entry vector"
WAT-03:R08:elastomeric_membrane,WAT,Liquid membrane to floor and walls,R08,wet_zone_waterproofing,,,m2,unmeasured,pct:10,,BYN/m2,none,3,,Same consumption-check rule as WAT-01
TIL-01:R07:wall_tile,TIL,Lay wall tile,R07,wall_tile_wet_room,,,m2,unmeasured,pct:10,45-65,BYN/m2,gemini_report_20260908_UNDATED_UNVERIFIED,4,,"Adhesive class C2 minimum with S1 deformability if format >=45x45. Notch/4 gives the bed thickness. Double-butter large formats. SVP clips give a PLANE not a LEVEL"
TIL-02:R07:floor_tile,TIL,Lay floor tile,R07,floor_tile_wet_room,,,m2,unmeasured,pct:10,45-65,BYN/m2,gemini_report_20260908_UNDATED_UNVERIFIED,4,,Fall to the drain; layout datum and cut-piece positions to be specified before setting out
TIL-03:R07:mitred_external_corners,TIL,Mitre external corners at 45 deg,R07,tile_corner_treatment,,,m,unmeasured,none,25-40,BYN/m,gemini_report_20260908_UNDATED_UNVERIFIED,4,,"Mitre rather than a plastic trim. PRESERVE the factory chamfer - it exists to prevent chipping. Priced per linear metre, so corner count is a cost driver"
TIL-04:R07:epoxy_grout,TIL,Grout joints in epoxy,R07,grout_wet_area,,,m2,unmeasured,pct:5,,BYN/m2,none,4,,"Epoxy in the field ONLY - internal corners and the bath rim get SILICONE. That placement rule is what the vault's two sources reconcile to. Four-stage film removal per the datasheet"
TIL-05:R08:wall_and_floor_tile,TIL,Lay wall and floor tile,R08,tile_wc,,,m2,unmeasured,pct:10,45-65,BYN/m2,gemini_report_20260908_UNDATED_UNVERIFIED,4,,Small room - large format costs cutting time rather than coverage
PLU-01:R07:fixture_rough_in,PLU,Rough-in supply and drainage,R07,plumbing_rough_in,,,pt,unmeasured,none,80-120,BYN/pt,gemini_report_20260908_UNDATED_UNVERIFIED,2,,"Priced per point. Drain height set from the ACTUAL siphon and basin, not a standard. A short siphon elbow allows a shallower chase"
PLU-02:R08:wc_connection,PLU,Connect WC pan,R08,wc_connection,,,pt,unmeasured,none,80-120,BYN/pt,gemini_report_20260908_UNDATED_UNVERIFIED,2,,"WC pan is already fitted as part of handover - this is connection or replacement, not first fit. NO washbasin: 1.24 m2 cannot meet the 1.4x1.5 m with-basin minimum"
PLU-03:ALL:pressure_test,PLU,Pressure test the installed system,ALL,commissioning_test,,,ls,unmeasured,none,,BYN/ls,none,2,,"10 atm, hold 30 min, TOP BACK UP, hold 5 more. Working pressure is not a test. Gates the filling of chases - and the acceptance commission may want an act of concealed works"
ELE-01:R07:points_and_circuits,ELE,Rough electrical points,R07,electrical_rough_in,,,pt,unmeasured,none,18-25,BYN/pt,gemini_report_20260908_UNDATED_UNVERIFIED,2,,"Sockets and switches are part of handover - this is modification. Towel-rail cable OFF the mounting axis, and a socket box even where no socket goes, for cable slack"
VEN-01:R08:door_grille,VEN,Ventilation grille in door leaf,R08,door_ventilation,,,ea,unmeasured,none,,BYN/ea,none,5,,"MANDATORY per SN 3.02.01-2019 s4.7: >=0.02 m2, bottom edge <=0.03 m above the floor. A specification requirement on door selection, not an accessory"
VEN-02:R07:door_grille,VEN,Ventilation grille in door leaf,R07,door_ventilation,,,ea,unmeasured,none,,BYN/ea,none,5,,Same s4.7 requirement as VEN-01
IFC-01:R07:waterproofing_before_tiling,IFC,INTERFACE - who applies waterproofing and who signs it off before the tiler arrives,R07,trade_interface,,,,unmeasured,none,,,none,3,,"NOT A PURCHASE. No 164 s16 puts damage liability on whoever caused it and is silent on proof. Assign in writing in BOTH small contracts before either starts"
IFC-02:ALL:chasing_for_electrician,IFC,INTERFACE - who cuts chases and who makes good,ALL,trade_interface,,,,unmeasured,none,,,none,2,,"NOT A PURCHASE. Vasily's own account: he asked the client's electrician to leave cable ends long with slack so he could route them himself"
IFC-03:ALL:protection_of_finished_work,IFC,INTERFACE - who protects finished floors and the entrance door,ALL,trade_interface,,,,unmeasured,none,,,none,4,,"NOT A PURCHASE. Handover already includes finished doors, windows, radiators and the WC pan. PVC tape not paper; 3 mm hardboard not cardboard, laid with a gap to the walls"
