claim_locator,parent_locator,claim_text,review_position,adjudication,adjudication_note,claim_inventory_complete
legacy_comment:6#dn110_horizontal_main,legacy_comment:6,I built a 6.3 m DN110 лежак from P2 to P1,make_services_sheets.py:327,retracted,Retracted by the author the same day it was drawn. Superseded by legacy_comment:6#two_vertical_dn110_stacks. Kept as history: the route was built from a misread of the owner naming TWO PLACES.,yes
legacy_comment:6#two_vertical_dn110_stacks,legacy_comment:6,"They are two STACKS, both DN110, each running the full height of the building.",make_services_sheets.py:327,accepted,The owner's correction. Two vertical DN110 stacks.,yes
legacy_comment:6#no_horizontal_dn110_main,legacy_comment:6,There is no horizontal main across this flat.,make_services_sheets.py:327,accepted,"A NEGATIVE fact, and separately adjudicable: it constrains any future drainage route whether or not the stacks claim is carried.",yes
legacy_comment:10#second_valve_node,legacy_comment:10,"The SECOND VALVE NODE is RETRACTED too, drawn and withdrawn the same day.",make_services_sheets.py:446,retracted,Built from the author's own word 'switch point'. Superseded by legacy_comment:10#single_valve_node.,yes
legacy_comment:10#single_valve_node,legacy_comment:10,"only ONE valve node, [in] the water closet",make_services_sheets.py:446,accepted,"The owner, directly quoted.",yes
legacy_comment:10#sewer_stacks_restated,legacy_comment:10,the two things behind V2 and behind the туалет are the two SEWER STACKS,make_services_sheets.py:446,duplicate,"Restates legacy_comment:6#two_vertical_dn110_stacks. Carried forward by the same target record, not by a second one.",yes
legacy_comment:2#two_outlets_on_g7,legacy_comment:2,G7 - the wall to the middle room. TWO outlets,make_services_sheets.py:61,accepted,"CONTRADICTS legacy_comment:4#zero_outlets_on_middle_living_wall. Both are genuine owner statements, so both are accepted as SOURCES; the resulting assertion carries value_state=disputed until the owner says which wall face each statement meant. The migration must not pick one.",yes
legacy_comment:2#zero_switches_on_g7,legacy_comment:2,"no switches, per the owner 2026-09-07",make_services_sheets.py:61,accepted,CORROBORATED by legacy_comment:4#zero_switches_on_middle_living_wall - the two blocks agree on switches even while they disagree on outlets.,yes
legacy_comment:2#prior_switch_placement,legacy_comment:2,before that I had put a switch on it,make_services_sheets.py:61,retracted,"The author's earlier placement, withdrawn by the owner's statement.",yes
legacy_comment:3#zero_outlets_on_mc,legacy_comment:3,"there are no outlets on the wall with the window, not a trace of it.",make_services_sheets.py:69,accepted,"A scoped count of ZERO on MC. Negation is POLARITY, not a kind of fact: this becomes an assertion with value false, never a 'negative fact' concept.",yes
legacy_comment:3#s16_removed,legacy_comment:3,S16 removed.,make_services_sheets.py:69,retracted,The placement withdrawn by the statement above.,yes
legacy_comment:4#zero_switches_on_middle_living_wall,legacy_comment:4,нет ни выключателей,make_services_sheets.py:95,accepted,Agrees with legacy_comment:2#zero_switches_on_g7.,yes
legacy_comment:4#zero_outlets_on_middle_living_wall,legacy_comment:4,ни розеток,make_services_sheets.py:95,accepted,"CONTRADICTS legacy_comment:2#two_outlets_on_g7. And the block's own scope is AMBIGUOUS: the opening words read either as 'this is NOT about G7' or as 'nothing on G7'. Under the first reading there is no contradiction at all. NEEDS THE OWNER: which wall, and which face.",yes
legacy_comment:4#living_room_switch_at_o10,legacy_comment:4,Выключатель гостиной,make_services_sheets.py:95,accepted,"Independent of the contradiction above: the living-room switch sits at opening O10, the room's only entrance.",yes
