wall_id,drawn_mm,solid_mm,delta_mm,cause,status,notes
G4d,1915.1,2825,-909.9,likely_transposed_with_G4b,open,"The largest disagreement in the model and NOT a rounding matter. G4d is drawn x 3230.9..5146.0 y 12750.3..12870.3 - 1915 long - while G4b is drawn 1795 against a recorded 1915. G4b's recorded 1915 matches G4d's DRAWN 1915, which is what a transposition looks like. Already on the open-items list as ""G4d/G4b apparent transposition"". NOT resolved by editing either number: it needs the owner or a tape, because whichever way it is settled one of the two walls moves."
R8,1789.7,2090,-300.3,corner_gain_already_covered,open,"R8 owns TWO corners in wall_corners.csv (C_MA_R8 300, C_MB_R8 300) so solid_mm = 1490 clear + 600. Only 299.7 mm of that landed: its placed run 7610.6..9100.6 ALREADY overlapped MB's band (7560.6..7860.6) by 250, so close_corners found the start ""already covered"" and the clamp - correctly - added nothing. The defect is upstream: clear_mm 1490 as read off the vector is not a face-to-face inner dimension, so clear + owned corners over-counts. Related to the standing R6-R9 length question (owner recalls ~1450; drawing and model agree at 1490)."
R9,1540.0,1790,-250.0,corner_gain_already_covered,open,"Same shape as R8: owns C_MB_R9 (300), of which 50 landed because the placed run already covered MB's band. Same upstream cause, same open question."
G7,3499.7,3250,249.7,drawn_exceeds_record,open,"The vector's hatched solid for G7 runs 9100.6..12600.3 = 3499.7 against a recorded 3250. G7 owns no corner, so nothing in the ledger accounts for the extra 250. Either the record is short or the merge across an opening (MERGE_OVER_OPENING_MM) joined one segment too many. Unresolved: I can state which two faces the vector terminates on but not which figure is right."
MA,3050.1,2825,225.1,drawn_exceeds_record,open,"MA is drawn 2830.9..5881.0, ending exactly on R8's near face, which is what C_MA_R8's note prescribes - so the drawn extent is geometrically correct at both ends and the recorded 2825 is 225 short of the faces the drawing actually shows. MA owns no corner. Unresolved for the same reason as G7."
M2,2373.1,2150,223.1,drawn_exceeds_record,open,"M2 owns C_M2_MA (300) by the owner-directed J_MA_M2, giving solid 2150 over clear 1850. RE-MEASURED 2026-09-09 after close_loggia_loop extended M2 57.7 mm onto the glazing axis to shut the лоджия enclosure, so the delta moved from +165.4 to +223.1. The 57.7 is accounted for and deliberate; the remaining +165.4 is not. The envelope clip had cut M2 from 1945.7 to 1490.2 before loggia_extent() was added, so its clear_mm was recorded while the лоджия leg was being amputated. That history makes the recorded clear the suspect number, but not provably."
R1b,1345.0,1200,145.0,drawn_exceeds_record,open,"R1b is the north leg of the A_NW_CORNER monolithic casting, and C_R1a_R1b is a volume ALLOCATION rather than a junction - the 250 goes to R1a. So R1b's solid_mm 1200 is a rectangular-leg figure carved out of a continuous casting, and comparing it to a drawn extent is only approximately meaningful. Use the assembly footprint, per the ledger note."
G4C,3120.0,3240,-120.0,drawn_short_of_record,open,"Drawn 12870.3..15990.3 = 3120 against 3240. G4C is the wall the SE-façade recovery touched (50-degree hatch, MIN_COVER calibration), so its solid boundary has been re-read twice. Part of the same G4 group as G4d and G4b and probably not separable from that question."
G4b,1795.1,1915,-119.9,likely_transposed_with_G4d,open,"See G4d. Its recorded 1915 equals G4d's drawn 1915. Also carries the resolve_overlaps trim of 239 x 120 mm against R1b (""corner owner by thicker-then-longer""), which accounts for the 120 exactly - so this row may be entirely explained by the trim rather than by a transposition, and the two hypotheses are not yet separated."
M6b,1439.9,1170,269.9,quarantined_placed_by_directive,open,"Quarantined and excluded from quantities, IFC and construction dimensions - its THICKNESS is the unresolved question (no 200 mm hatched solid exists there; the drawing shows 300/150/100). Its drawn length is now the sum of three recorded moves on a 1170 mm recorded clear: +319.9 by close_loggia_loop onto the glazing axis, then -50.0 yielded to R8 where corner closure ran into it. NOT exempt from this check: quarantine is about the thickness, and the length is still pinned so it cannot drift unnoticed."
G4a,3545.0,3570,-25.0,within_build_tolerance,accounted,"25 mm, against a build tolerance of +30/-45 mm from Geometry_Variance_Study.md. Below the threshold at which the figure means anything. Recorded so the gate pins it and a change is still caught."
