migration_key,source_locators,target_concept,observed_what,scope_kind,scope_ref,observed_via,count_min,count_max,measurement_mm,measurement_kind,notes
OBS-EC-LIGHT-109,legacy_csv:electrical_existing:E-C-LIGHT,observation,"ceiling light point, corridor",apartment,109,a82a;a89c,1,1,,none,A pendant point in the corridor of apartment 109. SCOPED THERE. 9e9b is apartment 2 and is a SEPARATE observation - merging them is what produced the 'across three flats' error corrected 2026-09-17.
OBS-electrical-existing-E-KL-LIGHT,legacy_csv:electrical_existing:E-KL-LIGHT,observation,"two ceiling light points, 25 m2 room",apartment,109,add8,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: add8 (109) - TWO ceiling points in the one 25 m² room - the developer wires it as two zones. Strong evidence of the STANDA"
OBS-electrical-existing-E-KL-SOC-W,legacy_csv:electrical_existing:E-KL-SOC-W,observation,"socket outlets, window end",apartment,109,add8,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: add8 (109) - count 2-3 and «low + one mid» - an UNCERTAIN range that must stay a range, on top of being a projection."
OBS-electrical-existing-E-C-SWITCH,legacy_csv:electrical_existing:E-C-SWITCH,observation,a pair of switch boxes at ~880,apartment,109,a89c,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: a89c (109) - a PAIR of boxes at ~880 on the pier beside a doorway."
OBS-electrical-existing-E-C-HIGH,legacy_csv:electrical_existing:E-C-HIGH,observation,"two round boxes at ~2100, UNIDENTIFIED",apartment,109,a89c,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: a89c (109) - two round boxes at ~2100, explicitly NOT IDENTIFIED - recorded because they exist and would otherwise be plas"
OBS-electrical-existing-E-MR-SOC,legacy_csv:electrical_existing:E-MR-SOC,observation,"two low sockets, middle room",apartment,53,b6f0,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: kids_room_window = b6f0 (53, MIRRORED) - attributed to 109 until corrected 2026-09-17 - the SAME error as E-MR-LIGHT, foun"
OBS-electrical-existing-E-MR-LIGHT,legacy_csv:electrical_existing:E-MR-LIGHT,observation,"ceiling light point, middle room",apartment,53,b6f0,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: kids_room_window = b6f0 (53, MIRRORED) - one mirrored comparable."
OBS-electrical-existing-E-SB-SOC,legacy_csv:electrical_existing:E-SB-SOC,observation,"sockets on the side walls, small bedroom",apartment,53,9db4,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: small_bedroom_window = 9db4 (53), bc18 (109) - one per side wall; flat annotations added 2026-09-17."
OBS-electrical-existing-E-SB-LIGHT,legacy_csv:electrical_existing:E-SB-LIGHT,observation,"ceiling light point, small bedroom",apartment,109,bc18,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: bc18 (109) - one comparable."
OBS-electrical-existing-E-WC-BOX,legacy_csv:electrical_existing:E-WC-BOX,observation,"a white box at ~1440, UNIDENTIFIED",apartment,53,ade6,,,,none,"Scoped to the flat actually photographed. ⚠ COMPARABLE-FLAT RULE: asserted observation scoped to the flat photographed; CANDIDATE, DERIVED projection onto this apartment. No target-apartment occurrence minted. EVIDENCE: ade6 (53) - a white box at ~1440, function UNIDENTIFIED - electrical or the water meters' pulse output. Do not classify it"
